track_id,window_start_frame,window_end_frame,n_frames,avg_speed,total_distance,straightness,median_speed,mean_turning_angle,angular_velocity,jump_frequency,trajectory_entropy,fractal_dimension,sinuosity,velocity_autocorrelation,speed_1min_mean,speed_1min_max,speed_1min_std,angle_1min_mean,angle_1min_std,jump_1min_max,label
0.0,0,8999,9000,75.51736165235604,22652.6912503184,0.00908018991910408,53.43032846614283,24.435411394858452,733.0623418457536,7.334148238693189,5.78538507652397,1.6237053174431968,110.1298550921353,0.3620432677418747,75.52871001548486,103.72590602808128,20.277428840526973,24.48968824365839,6.226794157439868,7.63757643135075,0
0.0,0,8999,9000,103.11870516696635,30932.174259917672,0.016954888379743776,74.34978143881762,25.494615551098256,764.8384665329477,7.520835648405379,5.339214405591312,1.598166550395966,58.980040304760294,0.206558769014188,103.10738007209913,116.5132719291646,11.354610096671903,25.773975724225853,5.476075046995621,8.321289605336297,0
0.0,9000,17999,9000,81.12410393858129,24334.527044776434,0.006178053144558213,57.61562288130114,22.998106594986357,689.9431978495907,7.46416268474275,5.50310621488695,1.626783985765704,161.8632887418305,0.3836896429471578,81.13059383671461,93.13023880609502,10.956238551784661,22.979201163584115,2.9519869101731113,7.670928293496386,0
0.0,9000,17999,9000,104.38141084752483,31310.943873895863,0.016292294268385077,76.59934725570447,20.301554624423087,609.0466387326927,7.500833425936216,6.188757864609365,1.7210053694634624,61.3787096848897,0.1947971587487958,104.39023515228637,130.7799046332409,18.6697868380489,20.448452786054844,3.0508976718962746,7.604224569205114,0
0.0,18000,26999,9000,57.78724851009623,17334.248311411866,0.006029467910425847,34.49478221412574,27.06352536622735,811.9057609868205,7.947549727747528,5.360792756566186,1.5660181964036446,165.85211412616547,0.31278931536452464,57.77365375740341,72.46895695763288,9.883444631165425,27.118765052247955,3.530284094467473,9.188438021122845,0
0.0,18000,26999,9000,101.55542738986045,30463.24303604514,0.012722516084642583,72.40511031688054,25.354535343060057,760.6360602918016,7.850872319146572,5.741398082189231,1.6956712540258125,78.60080453795656,0.35948794429980935,101.56104300439374,162.60106400991842,35.88815172441078,25.241419064689264,6.032594473755678,7.954419121734297,0
0.0,27000,35999,9000,54.32236177989426,16294.897788575614,0.018910912543420876,33.80961401731607,25.240489454239114,757.2146836271736,7.720857873097011,5.341310170848972,1.5546474248997741,52.87952116027848,0.3687175651750491,54.3287604768996,64.6231897866464,6.517925881227157,25.245913332041226,1.569796873318803,7.954419121734297,0
0.0,27000,35999,9000,97.92375593388599,29373.862654967998,0.0068318239700052115,71.09556948221038,25.478544097052886,764.3563229115866,7.540837870874542,5.25768611083721,1.5573669374438872,146.37379481533057,0.33515500774421797,97.94358880724212,138.34537329076355,27.607607726223684,25.443314257875464,4.513145128957599,8.954974986103391,0
0.0,36000,44999,9000,61.03963715796187,18309.85649281663,0.018411596451744148,41.153614665057276,29.141986074528454,874.2595822358535,7.054117124124903,5.482767162330643,1.5850351614642164,54.313595381093045,0.25309798353952484,61.051391237144855,85.41614557867405,13.576518682083027,29.266087947673793,3.853507593453797,7.620900500277932,0
0.0,36000,44999,9000,94.55565134632363,28363.543548852213,0.008271481173196078,70.03956024990559,23.992731485416815,719.7819445625045,7.370818979886654,5.3386867538027705,1.6037976012848303,120.89733133172359,0.3476710119626659,94.57292303253423,112.55162995601077,14.72765163078266,23.935310284534935,3.684175185805795,8.58810450250139,0
0.0,45000,53737,8738,64.0015795317965,18639.393345643537,0.017736680271287383,39.54769272663162,27.518728850896032,825.561865526881,8.199610850406318,5.4445503966718345,1.5854752972273345,56.38033638227257,0.45667782939404633,64.78140395454466,90.76956984971841,22.16301274776489,27.332749595973723,4.354473358296034,8.40466926070039,0
0.0,45000,53737,8738,100.14793188785828,29166.416030140594,0.009430061837616762,75.85730024196775,21.998643766254403,659.9593129876322,7.0974018541833575,5.749251451003885,1.640927787754883,106.04384331934855,0.24879444704282927,99.77025806910257,117.81484611539528,11.81912560134703,22.051830856642688,2.2379524397756225,7.9830839297332465,0
1.0,0,8999,9000,92.55835014809956,27764.419766091596,0.006832128689423868,66.57702306351587,26.51239911160171,795.3719733480514,7.697521946882988,5.325448816436045,1.5428061446401018,146.36726640527127,0.3143029195875484,92.57499344597167,133.48324420787512,23.66046839069745,26.48970923219909,4.11052362296804,8.137854363535297,0
1.0,0,8999,9000,105.92573748623987,31774.190387955754,0.008960871689444413,79.5005660357201,20.30220067474558,609.0660202423675,7.114123791532393,6.032469439424815,1.7107243988380383,111.59628601511662,0.23725581713603033,105.92195425993232,122.38218963217734,14.80177915797564,20.310898825638166,1.3184435100449192,7.620900500277932,0
1.0,9000,17999,9000,69.82284164060609,20944.525064127138,0.004030327745977859,46.697002045100746,27.94970686255124,838.4912058765372,7.757528614290478,5.375233526038042,1.6191331422855955,248.11877917322448,0.3619926056793325,69.8096078433751,85.67963224930978,10.97539780398526,27.947994196615355,3.978683788529614,8.67148415786548,0
1.0,9000,17999,9000,107.47516614774955,32238.96733878661,0.012161855482715901,83.76019340951939,22.93095379144762,687.9286137434287,6.927436381820203,5.441217726099404,1.6513923591347024,82.22429557900708,0.35263405476367354,107.46036927440741,151.26000582345907,22.06099490821819,22.937453147475715,3.772404208194204,7.604224569205114,0
1.0,18000,26999,9000,64.3112744281044,19291.238619283715,0.0007478960488792364,42.52175913576684,31.87664582064834,956.2993746194504,7.40415601733526,4.780094843467464,1.4553170679817105,1337.0842131049567,0.2836546762711885,64.28243630358553,85.75085070667693,17.39603777877981,31.824440304354177,7.628457919098899,8.004446914952752,0
1.0,18000,26999,9000,123.22403602504494,36963.10333964598,0.006504245005915976,100.2561220075869,20.844785705865583,625.3435711759674,6.254028225358374,5.619579360448087,1.652555394388306,153.74574590754867,0.21969724733396717,123.25237203014208,156.20051967795828,19.810831664482798,20.914587454652622,3.419322160879383,8.40466926070039,0
1.0,27000,35999,9000,67.96087883416482,20385.998287621638,0.004933099591025731,47.092356067623456,32.814583749774634,984.4375124932392,7.417490832314702,5.053560663502858,1.479970134951417,202.71230725185336,0.28902969904992704,67.95080169056631,74.27759674315885,4.1721868657858385,32.80168922840964,2.885625301094643,7.8043357420789325,0
1.0,27000,35999,9000,103.33613925689949,30997.397239094615,0.009491441865669184,77.33485630684254,21.741444646230413,652.2433393869125,7.060784531614624,5.833309826351442,1.6959079907493895,105.35807037042798,0.23051894182579727,103.32329416775261,122.00098755616399,14.980275154647666,21.759981542049754,3.2958247097103177,7.7042801556420235,0
1.0,36000,44999,9000,72.10178796413776,21628.13299630919,0.010582977132439188,48.25805632223473,28.648861153886397,859.465834616592,7.657517501944661,5.690378860877924,1.6677266943414157,94.49136925135902,0.16200271579971426,72.09725575911789,79.73072419153077,6.026799628090649,28.621732134911447,2.626909897982319,8.121178432462479,0
1.0,36000,44999,9000,79.8873671665108,23963.54723771436,0.013106333616225773,53.94163512538308,26.571672372027756,797.1501711608325,8.154239359928882,5.512773389234304,1.5551544499836016,76.29898866315976,0.3802763315608837,79.8819569251856,130.5776962426282,26.771073427231045,26.639435546013488,5.740223956452646,8.804891606448026,0
1.0,45000,53737,8738,58.03649645622554,16902.16231793476,0.012409534766175019,35.529424425397366,30.25389263936071,907.6167791808214,8.045095570561978,5.750603758095537,1.6059185518765435,80.58319822961657,0.3952864002815561,57.11874275234131,75.94913029339675,18.5617688114972,30.58129844865607,6.598387414496983,7.987770983879933,0
1.0,45000,53737,8738,67.24583904027635,19584.229856496484,0.003456693805687095,43.26661530556617,32.340312570480535,970.209377114416,7.8905802907176374,5.531202453472918,1.5602238526635643,289.29377498080936,0.3708821401720582,67.2886186984111,85.35546396669652,13.107079552910763,32.3526934860596,3.9805183780008333,8.022121014964215,0
2.0,0,8999,9000,78.10347801952337,23428.439956589697,0.0026708358251009076,54.140650162330445,24.47666347510268,734.2999042530803,7.454161573508168,5.213159954971547,1.515561965136259,374.4146272870287,0.2828472928579949,78.11539651340891,105.23928280329703,14.933155634871332,24.547193245362017,3.232585836350419,8.087826570316842,0
2.0,0,8999,9000,96.32105605357236,28893.10611420326,0.01732744004215927,67.39925815615491,24.65246916721093,739.5740750163279,7.757528614290478,5.588700534613544,1.6164364375255686,57.71192960800368,0.1665677631861091,96.31837610396015,101.37097713379622,5.7625407586023165,24.795485096771,2.1568238597843528,8.638132295719844,0
2.0,9000,17999,9000,58.77728910858047,17631.22748960385,0.009258125802152503,36.91950703896252,31.63283885484818,948.9851656454455,7.797533059228804,5.178412210653492,1.5121451974322488,108.01322226227487,0.3445855134815905,58.753412045398115,86.63422755648682,18.03340919596711,31.604010672972425,3.165242391755673,7.937743190661478,0
2.0,9000,17999,9000,87.21330715803394,26161.085037171582,0.018916504719821117,62.6080665729251,26.1762985868967,785.288957606901,7.307478608734304,5.775934837305423,1.6732907018083176,52.86388869462648,0.2646287971290176,87.20847294531742,107.58601836819011,13.26424431680223,26.17786246280471,4.661980588666842,8.037798777098388,0
2.0,18000,26999,9000,70.91753340358889,21272.89610329655,0.014906712485586891,48.466483264210794,28.22868697614088,846.8606092842264,7.514168240915658,5.316249453413241,1.5183140714126493,67.08387251494165,0.2973916065201673,70.91141336341025,83.06434234577173,11.985664173761291,28.219991656071397,1.562224984207327,7.45414118954975,0
2.0,18000,26999,9000,79.04832450993452,23711.86240883002,0.015945903895122755,48.701745348602685,28.92579161826128,867.7737485478383,8.810978997666409,5.446561857437897,1.5958559378764727,62.712029783765466,0.3909298057263576,79.06465020766719,113.19890998491204,19.914462215199364,28.853554703194202,2.8688382103668024,9.005002779321845,0
2.0,27000,35999,9000,56.58435095335588,16973.419140974984,0.009206784187864794,36.14595413044125,34.09253845817732,1022.7761537453198,7.477497499722192,5.5145260583227245,1.548798572212035,108.61555778814412,0.2465233582170317,56.57918473094084,74.13017555979313,11.999249625389412,34.14209977687643,6.0353376400997885,7.92106725958866,0
2.0,27000,35999,9000,73.378078439118,22010.97759578743,0.012782643912128022,47.95497888644756,29.737600772986735,892.128023189602,7.947549727747528,5.796610303737842,1.636620966301005,78.23107698800963,0.28868286833316714,73.39646408801609,101.14665329788407,15.304733178841234,29.58699248513318,3.585462918185993,8.387993329627571,0
2.0,36000,44999,9000,72.8602164696654,21855.636267017297,0.004274170224154436,48.98183336707516,24.660895876643615,739.8268762993084,7.854206022891433,5.605219518848175,1.5427452726239066,233.96354088771255,0.3373815157448845,72.87528519270887,98.93430211690298,19.786975717929053,24.651009266207588,1.862485714626527,7.63757643135075,0
2.0,36000,44999,9000,98.14016220673474,29438.7773232802,0.010105000654626519,67.84047464456627,25.731824302585814,771.9547290775744,7.887543060340039,5.4147484346588595,1.5768723864410759,98.96090402944759,0.3183684121113643,98.14699313840825,129.23380932848886,26.396877784889444,25.753636436774276,5.050452336991409,8.254585881045024,0
2.0,45000,53737,8738,64.24775415250699,18711.08760101512,0.020408867431017996,43.49896550493901,34.20998153476607,1026.2994460429818,7.437335469840906,5.110653149495627,1.5446721732076787,48.998309356459956,0.3072910880597342,64.24491261614936,80.92012535556823,13.249757752960551,34.22107439435778,2.708803166254115,7.787659811006114,0
2.0,45000,53737,8738,83.90069846357422,24434.6800825416,0.018090255566523345,56.004464107783136,27.258506097302305,817.7551829190692,8.055396589218267,5.4055221619513185,1.5920726957855806,55.278378811327315,0.32650717102867177,84.97857604338945,120.53982222750996,21.800698380346557,27.0023316748634,5.464713033772095,7.754307948860478,0
0.0,0,8999,9000,54.894046571395094,16466.38416986615,0.005494635150569887,27.66026030246323,53.4029610444729,1602.0888313341873,8.930992332481388,5.257990954533059,1.5580689964335654,181.99570537386512,0.4972519033936951,54.84419255731608,76.21573575471832,15.387235638563899,53.37614839490042,9.395280144477322,9.13841022790439,1
0.0,9000,17999,9000,46.06829890321662,13818.954061001547,0.011214242487162338,27.653752005831805,45.08440981961322,1352.5322945883968,7.6841871319035455,4.509995094195035,1.463334102850109,89.17231825018624,0.46312364850601623,46.08459119047257,59.159687823000986,8.712775806680199,45.13266579268525,12.054603061401858,8.888271261812118,1
0.0,18000,26999,9000,65.21594633162476,19562.61003460971,0.005717448342822727,46.03411778235816,33.75882231082476,1012.764669324743,7.104122680297811,5.441168345542429,1.5929041641295139,174.9031980770457,0.40915088830496255,65.22363311580156,69.72216297816688,4.15666608396317,33.79262052746579,10.227808845915103,7.587548638132295,1
