track_id,label,window_start_frame,avg_speed,total_distance,straightness,median_speed,mean_turning_angle,angular_velocity,jump_frequency,trajectory_entropy,fractal_dimension,sinuosity,velocity_autocorrelation,speed_1min_mean,speed_1min_max,speed_1min_std,angle_1min_mean,angle_1min_std,jump_1min_max
0,0,0,75.51736165235604,22652.6912503184,0.00908018991910408,53.43032846614283,24.435411394858452,733.0623418457536,7.334148238693189,5.78538507652397,1.6237053174431968,110.1298550921353,0.3620432677418747,75.52871001548486,103.72590602808128,20.277428840526973,24.48968824365839,6.226794157439868,7.63757643135075
0,0,0,103.11870516696635,30932.174259917672,0.016954888379743776,74.34978143881762,25.494615551098256,764.8384665329477,7.520835648405379,5.339214405591312,1.598166550395966,58.980040304760294,0.206558769014188,103.10738007209913,116.5132719291646,11.354610096671903,25.773975724225853,5.476075046995621,8.321289605336297
0,0,0,120.10186689315609,36026.556672383726,0.0021060694704905666,85.8062934754781,22.506999099071205,675.2099729721363,7.460828980997889,5.791429757186935,1.6925504513344711,474.8181453706131,0.08931140162170188,120.10053469207426,152.79507639371838,18.14956615984062,22.5433773423579,2.7947612730586178,7.987770983879933
0,0,2250,88.1902267093842,26454.128338591618,0.008637537170743417,65.26637725506278,20.891297667569397,626.7389300270819,7.100788976552951,5.5101764320479285,1.5459011407747403,115.77374200913937,0.3284602960167769,88.217230432791,108.23860629913412,11.27538831471035,20.905787996168865,1.7961390453315704,7.620900500277932
0,0,2250,109.27341343572712,32778.38158360361,0.01590376679197524,80.773572410784,23.770240585673523,713.1072175702058,7.544171574619403,5.500036257849663,1.6185377697465066,62.8781855946594,0.2325339914682911,109.25971885113344,126.83223662575543,17.546843601407502,24.363673453333988,7.658269579523695,8.438021122846026
0,0,2250,129.11683802559085,35081.044891553036,0.004820699077980703,94.842237426158,21.952876420035025,658.5862926010509,7.026131762973868,5.737671020730997,1.6968785725250548,207.43879338323697,0.07151347200811455,128.51747292980608,149.882986590117,11.403930298925205,22.082777155843473,5.037031782033903,8.58810450250139
0,0,4500,86.11114217829453,25830.472282082417,0.003351582140677165,62.758107046019866,21.612000777029795,648.3600233108941,7.190798977664185,5.409746405304342,1.536769148840264,298.36654989394253,0.34849016741067546,86.128199671144,111.17875545266332,14.145330802453534,21.597221322185824,2.190250043756469,7.5041689827682045
0,0,4500,110.99146728943418,33293.74047125394,0.01415085222133681,82.92653375126694,21.2172609752,636.5178292559999,7.164129347705301,5.698338043044142,1.6668805364665962,70.66712197673785,0.22166041397586525,110.96964468211581,130.17792069632247,15.754593457151449,21.46377119899417,7.045389328706749,8.087826570316842
0,0,4500,129.65726783082667,25503.584582323605,0.0075057492083615935,98.58001825927948,20.15472207863915,604.6416623591746,6.639552618200305,5.781151588271132,1.685976018405939,133.23120347346202,0.08589634358087236,127.04800003388674,138.49919291337022,10.335877930816876,20.08977255524241,2.308759683973487,7.185628742514971
0,0,6750,88.01443898868627,26401.39788197292,0.007151845820225443,64.31834885940708,21.722763830444375,651.6829149133313,7.207467496388488,5.3644268996575155,1.5990193853662282,139.82404335003935,0.36059474508413264,88.03941309597273,98.66753798787214,8.172979998089373,21.69669074454646,1.3092282557530017,7.320733740967204
