track_id,window_start_frame,window_end_frame,n_frames,avg_speed,total_distance,straightness,median_speed,mean_turning_angle,angular_velocity,jump_frequency,trajectory_entropy,fractal_dimension,sinuosity,velocity_autocorrelation,speed_30s_mean,speed_30s_max,speed_30s_std,angle_30s_mean,angle_30s_std,jump_30s_max,label
0.0,0,8999,9000,75.51736165235604,22652.6912503184,0.00908018991910408,53.43032846614283,24.435411394858452,733.0623418457536,7.334148238693189,5.78538507652397,1.6237053174431968,110.1298550921353,0.3620432677418747,75.53282896640779,111.60112140543663,23.349521481348344,24.531466637741566,6.6098496376421085,8.642936596218021,0
0.0,0,8999,9000,103.11870516696635,30932.174259917672,0.016954888379743776,74.34978143881762,25.494615551098256,764.8384665329477,7.520835648405379,5.339214405591312,1.598166550395966,58.980040304760294,0.206558769014188,103.09602060665561,124.45609049022109,16.788937365673828,25.813732929304944,6.4572737305582635,9.377085650723027,0
0.0,9000,17999,9000,81.12410393858129,24334.527044776434,0.006178053144558213,57.61562288130114,22.998106594986357,689.9431978495907,7.46416268474275,5.50310621488695,1.626783985765704,161.8632887418305,0.3836896429471578,81.15794673722954,110.70859436014926,20.778709256519814,22.968272944643772,4.191157948127198,7.608453837597331,0
0.0,9000,17999,9000,104.38141084752483,31310.943873895863,0.016292294268385077,76.59934725570447,20.301554624423087,609.0466387326927,7.500833425936216,6.188757864609365,1.7210053694634624,61.3787096848897,0.1947971587487958,104.37288659821665,139.79295675727744,21.29778910062175,20.46363563178593,3.9006138611952053,7.6751946607341495,0
0.0,18000,26999,9000,57.78724851009623,17334.248311411866,0.006029467910425847,34.49478221412574,27.06352536622735,811.9057609868205,7.947549727747528,5.360792756566186,1.5660181964036446,165.85211412616547,0.31278931536452464,57.77357600412599,93.17790864112267,17.335588623919897,27.100171991468347,4.104712920010561,8.776418242491658,0
0.0,18000,26999,9000,101.55542738986045,30463.24303604514,0.012722516084642583,72.40511031688054,25.354535343060057,760.6360602918016,7.850872319146572,5.741398082189231,1.6956712540258125,78.60080453795656,0.35948794429980935,101.57407309276483,165.3878945309521,36.579210472797925,25.262849463774522,6.501986573484345,8.476084538375973,0
0.0,27000,35999,9000,54.32236177989426,16294.897788575614,0.018910912543420876,33.80961401731607,25.240489454239114,757.2146836271736,7.720857873097011,5.341310170848972,1.5546474248997741,52.87952116027848,0.3687175651750491,54.32029081828546,65.99019756335186,8.911963976489703,25.287658900637986,3.232686120206675,8.409343715239155,0
0.0,27000,35999,9000,97.92375593388599,29373.862654967998,0.0068318239700052115,71.09556948221038,25.478544097052886,764.3563229115866,7.540837870874542,5.25768611083721,1.5573669374438872,146.37379481533057,0.33515500774421797,97.96890827093621,148.30020426818743,37.29320002357836,25.448054633334344,8.326171226621083,8.509454949944383,0
0.0,36000,44999,9000,61.03963715796187,18309.85649281663,0.018411596451744148,41.153614665057276,29.141986074528454,874.2595822358535,7.054117124124903,5.482767162330643,1.5850351614642164,54.313595381093045,0.25309798353952484,61.05535957305034,88.82250949629433,13.850759285883996,29.26068124337893,4.1589017733569,8.476084538375973,0
0.0,36000,44999,9000,94.55565134632363,28363.543548852213,0.008271481173196078,70.03956024990559,23.992731485416815,719.7819445625045,7.370818979886654,5.3386867538027705,1.6037976012848303,120.89733133172359,0.3476710119626659,94.59298768088797,132.24496632887957,24.02631800983787,23.932959134610744,4.4828489046690105,8.576195773081201,0
